fighterA.crucialFeats[0] | PL: Wyciska ciężar równy masie Ziemi przez pięć dni. | EN: Bench-presses a weight equal to Earth's mass for five days.
fighterB.profile.tools[0] | PL: Atomic Vision jako śmiercionośna broń do przebijania odporności i szybkiego domykania przewagi. | EN: Atomic Vision as a lethal weapon for piercing resistance and quickly closing out advantages.
fighterB.profile.tools[1] | PL: Doświadczenie w mordowaniu superbohaterów i instynkt wykorzystywania ich zawahań oraz ograniczeń. | EN: Experience killing superheroes and the instinct to exploit their hesitation and limitations.
fighterB.profile.weaknesses[0] | PL: Argonit. | EN: Argonite.
fighterB.profile.weaknesses[1] | PL: Skrajna arogancja i lekceważenie przeciwników sprawiają, że często oddaje inicjatywę. | EN: Extreme arrogance and contempt for opponents cause him to frequently surrender the initiative.
fighterB.version | PL: Ziemia-4023 | EN: Earth-4023
locale | PL: pl | EN: en
templates.battle-dynamics.analysis | PL: Standardowe zasady i Solar Flare to najczystszy scenariusz zwycięstwa Supermana. | EN: Standard rules with Solar Flare is Superman's cleanest victory scenario. Hyperion has no answer for it.
templates.battle-dynamics.label | PL: Standardowe zasady · Solar Flare | EN: Standard Rules · Solar Flare
templates.battle-dynamics.phase_1 | PL: Superman dyktuje tempo. Szybkość i dystans dają mu pełną kontrolę nad otwarciem. | EN: Superman dictates the pace in every aspect. Speed, distance, and Solar Flare in reserve — optimal conditions for Clark.
templates.battle-dynamics.phase_2 | PL: Superman buduje przewagę, konsekwentnie rozbijając obronę Hyperiona. | EN: Under standard rules Hyperion cannot fully exploit his regeneration. Superman builds his advantage methodically.
templates.battle-dynamics.phase_3 | PL: Solar Flare kończy walkę zanim regeneracja Hyperiona stanie się czynnikiem. | EN: Solar Flare closes the fight before Hyperion's regeneration becomes a factor. This is Superman's most repeatable win condition.
templates.battle-dynamics.s2_analysis | PL: Bez Solar Flare Superman wciąż wygrywa, ale walka jest znacznie bardziej wyrównana. | EN: Without Solar Flare and without death rules, Superman still leads — but the margin is thin and keeps narrowing.
templates.battle-dynamics.s2_label | PL: Standardowe zasady · Bez Solar Flare | EN: Standard Rules · No Solar Flare
templates.battle-dynamics.s2_phase_1 | PL: Superman prowadzi dzięki szybkości i czystszej kontroli wymian. | EN: Early on, Superman dictates the pace through speed, distance, and far cleaner control of exchanges.
templates.battle-dynamics.s2_phase_2 | PL: Bez Solar Flare starcie staje się testem precyzji. Hyperion mocno naciera. | EN: Without Solar Flare, the mid-fight becomes a test of technical precision. Hyperion pushes, but standard rules cap his aggression.
templates.battle-dynamics.s2_phase_3 | PL: Superman wygrywa technicznie, utrzymując przewagę do końca rundy. | EN: Without Solar Flare, Superman must be technically flawless. Any breakdown in the clinch gives Hyperion a foothold.
templates.battle-dynamics.s3_analysis | PL: Zasady śmierci faworyzują Hyperiona, dopóki Superman nie użyje swojej karty atutowej. | EN: Death rules erode Superman's advantages — but Solar Flare is a weapon Hyperion has no answer for.
templates.battle-dynamics.s3_label | PL: Walka na śmierć · Solar Flare | EN: Fight to the Death · Solar Flare
templates.battle-dynamics.s3_phase_1 | PL: Superman wie, że czas gra na korzyść wroga. Hyperion naciska bez litości. | EN: Superman opens aggressively — he knows time is his enemy under death rules. Solar Flare is his trump card.
templates.battle-dynamics.s3_phase_2 | PL: Na zasadach śmierci Hyperion staje się bestią. Superman słabnie, szukając okazji. | EN: Under death rules Hyperion becomes increasingly dangerous. But Solar Flare stays in Superman's arsenal as an answer to everything.
templates.battle-dynamics.s3_phase_3 | PL: Solar Flare domyka walkę w ostatniej sekundzie, niszcząc Hyperiona całkowicie. | EN: Solar Flare can definitively end the fight even under death rules. The question is whether Superman can use it before he is too weakened.
templates.battle-dynamics.s4_analysis | PL: W długiej walce na śmierć bez Solar Flare, Hyperion po prostu przetrwa Supermana. | EN: Superman wins the controlled fight. Hyperion wins the one that goes too long and stops punishing his mistakes.
templates.battle-dynamics.s4_label | PL: Walka na śmierć · Bez Solar Flare | EN: Fight to the Death · No Solar Flare
templates.battle-dynamics.s4_phase_1 | PL: Superman dominuje na początku, ale nie potrafi zadać ostatecznego ciosu. | EN: Early on, Superman dictates the pace through speed, distance, and far cleaner control of exchanges.
templates.battle-dynamics.s4_phase_2 | PL: Hyperion wraca po każdym ataku. Jego regeneracja zaczyna wygrywać wojnę zasobów. | EN: If Hyperion survives the first wave of dominance, he starts reclaiming value simply by still standing and returning to fight.
templates.battle-dynamics.s4_phase_3 | PL: Brutalna ekonomia regeneracji bierze górę. Hyperion ostatecznie przełamuje Clarka. | EN: The longer the fight lasts, the less Superman's technical edge matters, and the more Hyperion's brutal regeneration economy takes over.
templates.fight-simulation.end_condition | PL: Zwycięstwo przez Solar Flare przed wyczerpaniem zasobów. | EN: This fight is not decided by the raw power ceiling — it comes down to whether Superman's advantage gets truly closed before the match turns into attrition.
templates.fight-simulation.label | PL: Standardowe zasady · Solar Flare | EN: Standard Rules · Solar Flare
templates.fight-simulation.late_fight | PL: Superman musi użyć Solar Flare, zanim wróg zresetuje postępy regeneracją. | EN: The endgame comes down to one question: can Superman finish the fight definitively before Hyperion resets the value of each new wave of damage through regeneration.
templates.fight-simulation.mid_fight | PL: Hyperion przetrwał otwarcie. Walka przechodzi w fazę atrycji. | EN: If Hyperion survives the first wave, the fight starts pulling away from clean control and becomes an increasingly uncomfortable war of resources.
templates.fight-simulation.opening | PL: Superman narzuca tempo szybkością i kontrolą pola. | EN: Superman opens with speed, distance, and far cleaner control of the battlefield.
templates.fight-simulation.phase_1_a_label | PL: Szybkość | EN: Speed
templates.fight-simulation.phase_1_b_label | PL: Agresja | EN: Aggression
templates.fight-simulation.phase_1_event | PL: Hyperion szarżuje, ignorując obronę. Superman kontruje potężną szybkością. | EN: Hyperion immediately launches a brutal assault, ignoring all rules and constraints. Superman must rely on his speed to counter the momentum.
templates.fight-simulation.phase_1_title | PL: Brutalny Start | EN: Brutal Opening
templates.fight-simulation.phase_2_branch_a | PL: Superman odzyskuje dystans i wygrywa technicznie. | EN: Superman reclaims distance and wins the technical fight.
templates.fight-simulation.phase_2_branch_b | PL: Hyperion wymusza brutalną wojnę na siłę. | EN: Hyperion forces the clinch and grinds Superman down.
templates.fight-simulation.phase_2_event | PL: Hyperion zadaje pierwsze szkody. Superman traci inicjatywę w zwarciu. | EN: The turning point arrives when Hyperion deals the first lasting damage to someone who lacks comparable regeneration.
templates.fight-simulation.phase_2_title | PL: Zagrożenie | EN: Pressure
templates.fight-simulation.phase_3_branch_a | PL: Solar Flare niszczy Hyperiona. Superman wygrywa. | EN: Solar Flare closes the fight definitively.
templates.fight-simulation.phase_3_branch_b | PL: Hyperion przetrwał wybuch i przejmuje walkę. | EN: Hyperion keeps coming back. Every minute works in his favor.
templates.fight-simulation.phase_3_event | PL: Superman wyzwala Solar Flare, by definitywnie zakończyć starcie. | EN: Superman either closes the fight with Solar Flare or gets worn down by Hyperion.
templates.fight-simulation.s2_end_condition | PL: Zwycięstwo na punkty po technicznej dominacji. | EN: Without Solar Flare Superman's win depends entirely on his technical edge — no clean finisher available.
templates.fight-simulation.s2_label | PL: Standardowe zasady · Bez Solar Flare | EN: Standard Rules · No Solar Flare
templates.fight-simulation.s2_phase_1_event | PL: Hyperion szarżuje. Superman musi polegać na szybkości, by uniknąć trafienia. | EN: Hyperion immediately launches a brutal assault, ignoring all rules and constraints. Superman must rely on his speed to counter the momentum.
templates.fight-simulation.s2_phase_1_title | PL: Brutalny Start | EN: Brutal Opening
templates.fight-simulation.s2_phase_2_branch_a | PL: Superman utrzymuje dystans i prowadzi na punkty. | EN: Superman maintains distance and wins the technical fight.
templates.fight-simulation.s2_phase_2_branch_b | PL: Hyperion wchodzi w zwarcie i przejmuje inicjatywę. | EN: Hyperion forces the clinch and starts landing meaningful exchanges.
templates.fight-simulation.s2_phase_2_event | PL: Bez Solar Flare walka staje się długą wymianą ciosów. | EN: Without Solar Flare the fight becomes a more even exchange.
templates.fight-simulation.s2_phase_2_title | PL: Walka Techniczna | EN: Technical Fight
templates.fight-simulation.s2_phase_3_branch_a | PL: Superman wygrywa dzięki technicznej dominacji. | EN: Superman maintains full control and wins on precision.
templates.fight-simulation.s2_phase_3_branch_b | PL: Jeden błąd i Hyperion domyka walkę siłowo. | EN: One breakdown in the clinch and Hyperion starts taking over the fight.
templates.fight-simulation.s2_phase_3_event | PL: Superman musi walczyć bezbłędnie, by wygrać na punkty. | EN: Without Solar Flare Superman must win technically for the entire fight without a single mistake.
templates.fight-simulation.s2_phase_3_title | PL: Precyzja | EN: Precision
templates.fight-simulation.s3_end_condition | PL: Solar Flare rozstrzyga o przeżyciu obu zawodników. | EN: Solar Flare is Superman's last card under death rules. All or nothing.
templates.fight-simulation.s3_label | PL: Walka na śmierć · Solar Flare | EN: Fight to the Death · Solar Flare
templates.fight-simulation.s3_phase_1_event | PL: Agresja Hyperiona jest totalna. Superman szuka okna na finisz. | EN: Hyperion immediately launches a brutal assault, ignoring all rules and constraints. Superman must rely on his speed to survive the momentum.
templates.fight-simulation.s3_phase_1_title | PL: Brutalny Start | EN: Brutal Opening
templates.fight-simulation.s3_phase_2_branch_a | PL: Superman walczy o przetrwanie i czeka na moment. | EN: Superman fights technically and waits for the moment to use Solar Flare.
templates.fight-simulation.s3_phase_2_branch_b | PL: Hyperion przyciska Supermana do muru. | EN: Hyperion keeps the pressure on and gives Superman no room to breathe.
templates.fight-simulation.s3_phase_2_event | PL: Regeneracja wroga czyni każdą sekwencję łatwiejszą dla niego. | EN: Hyperion's regeneration means every exchange works in his favor.
templates.fight-simulation.s3_phase_2_title | PL: Dominacja | EN: Domination
templates.fight-simulation.s3_phase_3_branch_a | PL: Hyperion wymazany. Superman wygrywa na skraju śmierci. | EN: Solar Flare destroys Hyperion. Superman wins on the edge of death.
templates.fight-simulation.s3_phase_3_branch_b | PL: Hyperion przetrwał. Superman jest bezbronny. | EN: Superman is too exhausted — Solar Flare fails.
templates.fight-simulation.s3_phase_3_event | PL: Superman stawia wszystko na jeden wybuch słońca. | EN: Wounded and cornered, Superman unleashes Solar Flare and kills Hyperion.
templates.fight-simulation.s4_end_condition | PL: Hyperion wygrywa wojnę na wyniszczenie. | EN: Without Solar Flare under death rules — Hyperion simply never stops coming back.
templates.fight-simulation.s4_label | PL: Walka na śmierć · Bez Solar Flare | EN: Fight to the Death · No Solar Flare
templates.fight-simulation.s4_phase_1_event | PL: Hyperion szarżuje. Superman nie ma planu na ostateczny finisz. | EN: Hyperion immediately launches a brutal assault, ignoring all rules and constraints. Superman must rely on his speed to survive the momentum.
templates.fight-simulation.s4_phase_1_title | PL: Brutalny Start | EN: Brutal Opening
templates.fight-simulation.s4_phase_2_branch_a | PL: Superman desperacko próbuje trzymać dystans. | EN: Superman maintains control and keeps Hyperion at distance.
templates.fight-simulation.s4_phase_2_branch_b | PL: Hyperion zamienia walkę w rzeźnię w zwarciu. | EN: Hyperion gets inside and turns the fight into a war of attrition.
templates.fight-simulation.s4_phase_2_event | PL: Hyperion wraca po każdym ataku. Superman zaczyna tracić siły. | EN: Hyperion endures heavy sequences and regenerates. Every return strengthens his position.
templates.fight-simulation.s4_phase_2_title | PL: Regeneracja | EN: Regeneration
templates.fight-simulation.s4_phase_3_branch_a | PL: Cud techniczny pozwala Clarkowi przetrwać. | EN: A technical miracle — Superman pulls out the win on pure precision.
templates.fight-simulation.s4_phase_3_branch_b | PL: Hyperion masakruje osłabionego Supermana. | EN: Hyperion dominates. Without Solar Flare there is no answer for him.
templates.fight-simulation.s4_phase_3_event | PL: Przy zasadach śmierci Superman nie ma jak wygrać atrycji. | EN: Without Solar Flare Superman has no tool to definitively end the fight.
templates.fight-simulation.s4_phase_3_title | PL: Nieuchronność | EN: Inevitability
templates.final-summary.line_1 | PL: Superman czyściej narzuca warunki walki już od pierwszych sekund. | EN: Superman sets the terms of the fight more cleanly from the opening seconds.
templates.final-summary.line_2 | PL: To on jest szybszy, precyzyjniejszy i lepszy w utrzymywaniu pojedynku w bezpiecznej formie. | EN: He is faster, more precise, and better at keeping the fight in a safe, controlled form.
templates.final-summary.line_3 | PL: Problem polega na tym, że niezamknięta sekwencja daje Hyperionowi szansę, a czas faworyzuje jego regenerację. | EN: The problem is that every unclosed sequence gives Hyperion another chance, and the longer the fight lasts, the more his regeneration starts reversing the entire economy of the matchup.
templates.final-summary.winner | PL: Superman ma przewagę. Hyperion wciąż ma realną drogę do zwycięstwa. | EN: Superman holds the edge. Hyperion still has a real path to victory.
templates.tactical-board.lane | PL: Superman musi zamienić przewagę kontroli w prawdziwe zakończenie, zanim regeneracja Hyperiona odbierze wartość każdej wymianie. | EN: Superman must convert his control advantage into a real finish before Hyperion's regeneration strips the value from every subsequent exchange.
templates.tactical-board.subtitle | PL: Bohater kontra Tyran | EN: Hero versus Tyrant
templates.verdict-matrix.case_1 | PL: Superman 7/10. Przy standardowych zasadach i z Solar Flare ma najczystszą drogę do zwycięstwa. | EN: Superman 7/10. Under standard rules and with Solar Flare, he has the cleanest and most repeatable path to victory.
templates.verdict-matrix.case_2 | PL: Superman 6/10. Bez Solar Flare wciąż prowadzi, jeśli utrzyma pełną kontrolę i nie dopuści do atrycji. | EN: Superman 6/10. Without Solar Flare he still leads if he maintains full control from start to finish and avoids a war of attrition.
templates.verdict-matrix.case_3 | PL: Superman 5.5/10. Solar Flare nadal daje mu drogę finiszu, ale walka na śmierć premiuje Hyperiona. | EN: Superman 5.5/10. Solar Flare still gives him a real finish route, but a fight to the death rewards Hyperion's survivability more.
templates.verdict-matrix.case_4 | PL: King Hyperion 6/10. Bez Solar Flare i przy zasadach śmierci jego regeneracja przechyla szalę zwycięstwa. | EN: King Hyperion 6/10. Without Solar Flare and under death rules, his regeneration starts tilting the fight his way.
templates.verdict-matrix.col_1 | PL: SOLAR FLARE: TAK | EN: SOLAR FLARE: YES
templates.verdict-matrix.col_2 | PL: SOLAR FLARE: NIE | EN: SOLAR FLARE: NO
templates.verdict-matrix.row_2 | PL: WALKA NA ŚMIERĆ | EN: DEATHMATCH
templates.x-factor.a_bonus_label | PL: KONTROLA | EN: CONTROL
templates.x-factor.factor | PL: Dlaczego lepsze statystyki nie gwarantują zwycięstwa? | EN: Why don't better stats guarantee victory?
templates.x-factor.implikacja | PL: Im mniej walka premiuje czysty nokaut, tym bardziej rośnie wartość faktu, że Hyperion ciągle wraca. | EN: The less the fight rewards a clean knockout, the more valuable the simple fact that Hyperion keeps coming back becomes.
templates.x-factor.mechanika | PL: Superman ma przewagę statystyczną, ale Hyperion to wróg, którego sama dominacja nie pokona bez trwałego końca. | EN: Superman has the statistical edge, but Hyperion is one of those opponents where dominance alone is not enough if it does not lead to a permanent end.
templates.x-factor.psychologia | PL: Hyperion walczy lekkomyślnie, bo każde przetrwanie sekwencji przybliża go do zmęczenia przeciwnika. | EN: Hyperion can afford to fight more recklessly, because surviving each sequence brings him closer to the moment when his opponent starts to crack.
templates.x-factor.regen | PL: BRAK ZASAD | EN: NO RULES
